rec_device_id,channel,timestamp,value
3,10,2023-12-18 06:23:15.029851000,44.70199241836397
2,8,2023-12-18 06:23:15.035852200,49.8124674289478
3,8,2023-12-18 06:23:15.041853400,25.187354174620218
2,10,2023-12-18 06:23:15.047854600,45.915357842213396
3,12,2023-12-18 06:23:15.053855800,34.808374879500995
1,14,2023-12-18 06:23:15.059857001,23.262087444823415
3,8,2023-12-18 06:23:15.065858201,49.690975751189455
2,12,2023-12-18 06:23:15.071859401,31.92924603810982
2,8,2023-12-18 06:23:15.077860601,32.77373475431452
1,14,2023-12-18 06:23:15.083861802,34.321068935118454
2,14,2023-12-18 06:23:15.089863002,24.79232774584061
1,10,2023-12-18 06:23:15.095864202,45.85608262869253
1,12,2023-12-18 06:23:15.101865402,20.1552982778348
1,14,2023-12-18 06:23:15.107866603,22.73947853168277
2,10,2023-12-18 06:23:15.113867803,40.788131878376035
2,10,2023-12-18 06:23:15.119869003,24.372116032931274
3,10,2023-12-18 06:23:15.125870203,43.804026910340326
3,8,2023-12-18 06:23:15.131871404,32.24473665137386
1,14,2023-12-18 06:23:15.137872604,32.35081846478884
3,10,2023-12-18 06:23:15.143873804,36.568264744682665
1,14,2023-12-18 06:23:15.149875004,45.74624155931596
1,12,2023-12-18 06:23:15.155876205,28.792860020560624
2,8,2023-12-18 06:23:15.161877405,37.30158713344149
3,14,2023-12-18 06:23:15.167878605,21.373229662046622
2,14,2023-12-18 06:23:15.173879805,42.79549060997127
3,10,2023-12-18 06:23:15.179881006,36.12803279331845
1,14,2023-12-18 06:23:15.185882206,46.05472952152813
3,12,2023-12-18 06:23:15.191883406,45.939751789840955
3,10,2023-12-18 06:23:15.197884606,32.9656652597368
2,10,2023-12-18 06:23:15.203885806,29.00080440207283
2,10,2023-12-18 06:23:15.209887007,39.245212999249055
3,14,2023-12-18 06:23:15.215888207,43.99099274037619
1,14,2023-12-18 06:23:15.221889407,41.08394105496166
3,12,2023-12-18 06:23:15.227890607,46.4095903924314
1,12,2023-12-18 06:23:15.233891808,39.80827998360244
3,8,2023-12-18 06:23:15.239893008,39.3103301371988
1,8,2023-12-18 06:23:15.245894208,25.900360161324983
3,8,2023-12-18 06:23:15.251895408,27.165576706915708
1,8,2023-12-18 06:23:15.257896609,25.443935571741005
1,12,2023-12-18 06:23:15.263897809,34.22634190581405
3,12,2023-12-18 06:23:15.269899009,47.28062343160691
3,10,2023-12-18 06:23:15.275900209,24.23556533869298
2,8,2023-12-18 06:23:15.281901410,27.173057284601338
2,14,2023-12-18 06:23:15.287902610,24.885617653623207
1,10,2023-12-18 06:23:15.293903810,45.17719795197621
1,10,2023-12-18 06:23:15.299905010,48.043207095020485
3,10,2023-12-18 06:23:15.305906211,25.036073023021775
3,10,2023-12-18 06:23:15.311907411,25.906333239992442
1,14,2023-12-18 06:23:15.317908611,49.04461808622307
3,8,2023-12-18 06:23:15.323909811,35.42550043066425
1,12,2023-12-18 06:23:15.329911012,36.04931648219966
1,14,2023-12-18 06:23:15.335912212,38.27707666596667
1,14,2023-12-18 06:23:15.341913412,38.86147392318547
3,10,2023-12-18 06:23:15.347914612,39.57345204996264
3,10,2023-12-18 06:23:15.353915812,23.77145412742285
2,14,2023-12-18 06:23:15.359917013,44.50839283270243
3,10,2023-12-18 06:23:15.365918213,31.959108022651446
1,8,2023-12-18 06:23:15.371919413,23.113509340752124
3,14,2023-12-18 06:23:15.377920613,21.8029171131885
3,14,2023-12-18 06:23:15.383921814,20.903756324686263
3,10,2023-12-18 06:23:15.389923014,49.269765559668926
3,8,2023-12-18 06:23:15.395924214,44.27354742642902
2,8,2023-12-18 06:23:15.401925414,30.32843715878701
2,8,2023-12-18 06:23:15.407926615,33.69856126431164
1,14,2023-12-18 06:23:15.413927815,43.93492800047478
3,14,2023-12-18 06:23:15.419929015,35.363574743361994
2,12,2023-12-18 06:23:15.425930215,26.66535141927173
3,12,2023-12-18 06:23:15.431931416,31.823721051384158
1,8,2023-12-18 06:23:15.437932616,23.30047676275764
3,8,2023-12-18 06:23:15.443933816,28.794035280101497
1,14,2023-12-18 06:23:15.449935016,44.55523452955967
3,12,2023-12-18 06:23:15.455936217,30.990015548219827
3,14,2023-12-18 06:23:15.461937417,23.64148962238153
2,8,2023-12-18 06:23:15.467938617,48.61816416867177
1,12,2023-12-18 06:23:15.473939817,24.62428378287738
1,10,2023-12-18 06:23:15.479941018,26.66137952379266
2,8,2023-12-18 06:23:15.485942218,42.46626506811306
2,12,2023-12-18 06:23:15.491943418,46.72205390555402
2,8,2023-12-18 06:23:15.497944618,45.685253667720914
1,14,2023-12-18 06:23:15.503945818,28.058705978751732
1,12,2023-12-18 06:23:15.509947019,38.20136913886702
1,12,2023-12-18 06:23:15.515948219,21.124562822961625
2,8,2023-12-18 06:23:15.521949419,31.36513301469852
2,12,2023-12-18 06:23:15.527950619,37.5271071529214
3,10,2023-12-18 06:23:15.533951820,36.06012275800675
2,12,2023-12-18 06:23:15.539953020,30.996806295979557
1,8,2023-12-18 06:23:15.545954220,49.76823699565618
1,12,2023-12-18 06:23:15.551955420,38.56283540231493
1,14,2023-12-18 06:23:15.557956621,31.999442252860696
2,8,2023-12-18 06:23:15.563957821,38.339174321243014
1,8,2023-12-18 06:23:15.569959021,45.19442487149767
2,10,2023-12-18 06:23:15.575960221,46.24213311404276
3,8,2023-12-18 06:23:15.581961422,25.748664511142234
3,10,2023-12-18 06:23:15.587962622,32.91131397370978
2,10,2023-12-18 06:23:15.593963822,33.70765355303301
2,12,2023-12-18 06:23:15.599965022,46.84599220631782
1,14,2023-12-18 06:23:15.605966223,38.4440902752379
3,12,2023-12-18 06:23:15.611967423,24.318833070560355
3,14,2023-12-18 06:23:15.617968623,36.24597894786733
1,14,2023-12-18 06:23:15.623969823,22.997931657654007
1,8,2023-12-18 06:23:15.629971024,45.60782706254038
2,8,2023-12-18 06:23:15.635972224,32.30664068232762
3,10,2023-12-18 06:23:15.641973424,43.48157668960824
1,10,2023-12-18 06:23:15.647974624,28.09516293147631
2,12,2023-12-18 06:23:15.653975824,46.09355386486088
3,10,2023-12-18 06:23:15.659977025,20.077162065395047
2,10,2023-12-18 06:23:15.665978225,39.20401312846665
1,14,2023-12-18 06:23:15.671979425,44.11650619602238
3,8,2023-12-18 06:23:15.677980625,32.89144104232376
3,12,2023-12-18 06:23:15.683981826,45.2387822921026
1,14,2023-12-18 06:23:15.689983026,20.461805919738776
2,10,2023-12-18 06:23:15.695984226,38.106745461913235
3,10,2023-12-18 06:23:15.701985426,22.759412395334717
2,10,2023-12-18 06:23:15.707986627,27.445792339947225
1,8,2023-12-18 06:23:15.713987827,46.77209055468889
1,10,2023-12-18 06:23:15.719989027,26.630988682668736
3,14,2023-12-18 06:23:15.725990227,48.077299855072354
2,14,2023-12-18 06:23:15.731991428,26.61458498486283
1,14,2023-12-18 06:23:15.737992628,34.94538832468047
3,8,2023-12-18 06:23:15.743993828,45.81218919224453
3,12,2023-12-18 06:23:15.749995028,48.02494359861036
3,8,2023-12-18 06:23:15.755996229,47.91378216911167
3,12,2023-12-18 06:23:15.761997429,48.43584047390401
1,10,2023-12-18 06:23:15.767998629,21.18531879841153
1,10,2023-12-18 06:23:15.773999829,38.96476822131315
2,8,2023-12-18 06:23:15.780001030,33.02734081046955
1,10,2023-12-18 06:23:15.786002230,20.99487612934714
1,14,2023-12-18 06:23:15.792003430,40.05549357987741
2,12,2023-12-18 06:23:15.798004630,22.926280669792156
3,8,2023-12-18 06:23:15.804005830,20.368771410155517
2,10,2023-12-18 06:23:15.810007031,33.79558186245201
2,12,2023-12-18 06:23:15.816008231,24.354384821019668
1,10,2023-12-18 06:23:15.822009431,25.632794787993966
2,12,2023-12-18 06:23:15.828010631,41.94092041225485
3,14,2023-12-18 06:23:15.834011832,23.067975831223663
2,10,2023-12-18 06:23:15.840013032,44.258007608802956
2,8,2023-12-18 06:23:15.846014232,28.923205551460093
3,8,2023-12-18 06:23:15.852015432,43.93715791643179
2,12,2023-12-18 06:23:15.858016633,39.31183887795446
3,12,2023-12-18 06:23:15.864017833,41.261879665990506
3,12,2023-12-18 06:23:15.870019033,26.31940016556661
1,14,2023-12-18 06:23:15.876020233,37.697308285526695
1,10,2023-12-18 06:23:15.882021434,36.91444261399606
1,8,2023-12-18 06:23:15.888022634,49.34311535214684
1,10,2023-12-18 06:23:15.894023834,36.46378589989854
1,10,2023-12-18 06:23:15.900025034,33.510060187917176
2,10,2023-12-18 06:23:15.906026235,26.892497393914475
3,10,2023-12-18 06:23:15.912027435,45.46354078854149
3,14,2023-12-18 06:23:15.918028635,35.432804351816046
3,14,2023-12-18 06:23:15.924029835,42.504657805110334
3,12,2023-12-18 06:23:15.930031036,26.620789699848828
2,8,2023-12-18 06:23:15.936032236,35.16829408841966
2,12,2023-12-18 06:23:15.942033436,23.290738208779306
2,12,2023-12-18 06:23:15.948034636,43.889523302630124
3,14,2023-12-18 06:23:15.954035836,36.21181036574681
3,12,2023-12-18 06:23:15.960037037,29.075739985107656
2,12,2023-12-18 06:23:15.966038237,26.166203881951304
1,10,2023-12-18 06:23:15.972039437,38.80269342709068
1,8,2023-12-18 06:23:15.978040637,39.234191153263325
2,14,2023-12-18 06:23:15.984041838,27.035957240142846
3,8,2023-12-18 06:23:15.990043038,37.62302884951913
1,12,2023-12-18 06:23:15.996044238,37.899479963993414
1,8,2023-12-18 06:23:16.002045438,32.73539557796864
1,8,2023-12-18 06:23:16.008046639,29.197136301044843
1,12,2023-12-18 06:23:16.014047839,34.607581283960585
3,12,2023-12-18 06:23:16.020049039,37.7201968038999
1,12,2023-12-18 06:23:16.026050239,38.825721093538505
1,14,2023-12-18 06:23:16.032051440,32.42531960524735
1,10,2023-12-18 06:23:16.038052640,20.179995476627063
1,8,2023-12-18 06:23:16.044053840,31.564230198018823
3,8,2023-12-18 06:23:16.050055040,44.12110194568652
3,12,2023-12-18 06:23:16.056056241,49.95275743560943
3,10,2023-12-18 06:23:16.062057441,45.83627000351675
1,12,2023-12-18 06:23:16.068058641,47.90204373226168
1,8,2023-12-18 06:23:16.074059841,20.125910382001102
1,10,2023-12-18 06:23:16.080061042,49.533718052928705
1,14,2023-12-18 06:23:16.086062242,41.274942444174116
1,12,2023-12-18 06:23:16.092063442,49.16954693774757
1,8,2023-12-18 06:23:16.098064642,23.05714992281154
3,10,2023-12-18 06:23:16.104065842,26.95951123668913
2,14,2023-12-18 06:23:16.110067043,20.07316349253224
1,14,2023-12-18 06:23:16.116068243,45.69019330933736
1,12,2023-12-18 06:23:16.122069443,35.929566602230466
1,8,2023-12-18 06:23:16.128070643,48.5136438733625
2,14,2023-12-18 06:23:16.134071844,37.98647321438476
2,14,2023-12-18 06:23:16.140073044,38.41521267621127
1,8,2023-12-18 06:23:16.146074244,28.18628438406491
1,14,2023-12-18 06:23:16.152075444,44.897635925264964
2,10,2023-12-18 06:23:16.158076645,25.14883803234509
2,8,2023-12-18 06:23:16.164077845,43.43025580857393
1,12,2023-12-18 06:23:16.170079045,39.877001137323674
3,8,2023-12-18 06:23:16.176080245,27.109547719377332
1,12,2023-12-18 06:23:16.182081446,35.74317502489568
2,14,2023-12-18 06:23:16.188082646,36.04553302308587
2,12,2023-12-18 06:23:16.194083846,21.972242932831506
3,12,2023-12-18 06:23:16.200085046,49.07454942919912
2,12,2023-12-18 06:23:16.206086247,40.39403008979884
3,8,2023-12-18 06:23:16.212087447,34.215253758916575
3,12,2023-12-18 06:23:16.218088647,25.64307253095245
1,10,2023-12-18 06:23:16.224089847,47.74901390540724
3,10,2023-12-18 06:23:16.230091048,45.544476541224476
1,12,2023-12-18 06:23:16.236092248,30.604005436163455
1,14,2023-12-18 06:23:16.242093448,47.895145761549955
1,12,2023-12-18 06:23:16.248094648,36.72401207851219
3,8,2023-12-18 06:23:16.254095848,24.339640128560877
2,10,2023-12-18 06:23:16.260097049,38.73245394706518
1,14,2023-12-18 06:23:16.266098249,22.083413018841426
1,8,2023-12-18 06:23:16.272099449,43.33346059468349
2,14,2023-12-18 06:23:16.278100649,30.671007347228002
2,10,2023-12-18 06:23:16.284101850,32.64264231676366
1,14,2023-12-18 06:23:16.290103050,20.87372801869237
1,10,2023-12-18 06:23:16.296104250,32.73232470109775
1,14,2023-12-18 06:23:16.302105450,33.49666341257928
2,12,2023-12-18 06:23:16.308106651,23.47749614490327
2,8,2023-12-18 06:23:16.314107851,43.50796368689565
3,10,2023-12-18 06:23:16.320109051,33.99459989154067
3,12,2023-12-18 06:23:16.326110251,47.01155828465749
3,8,2023-12-18 06:23:16.332111452,37.8440663503845
2,12,2023-12-18 06:23:16.338112652,37.93870042296778
1,8,2023-12-18 06:23:16.344113852,32.93809550339776
1,12,2023-12-18 06:23:16.350115052,27.196742998026217
3,8,2023-12-18 06:23:16.356116253,20.123726144844202
1,12,2023-12-18 06:23:16.362117453,49.1493599345926
2,8,2023-12-18 06:23:16.368118653,20.532984317716718
2,14,2023-12-18 06:23:16.374119853,21.781379470744227
1,12,2023-12-18 06:23:16.380121054,47.001055543112024
3,8,2023-12-18 06:23:16.386122254,28.22446416236284
3,12,2023-12-18 06:23:16.392123454,27.809087594394683
3,14,2023-12-18 06:23:16.398124654,36.11384271756657
2,14,2023-12-18 06:23:16.404125854,48.515772957173624
1,8,2023-12-18 06:23:16.410127055,35.97163517772372
3,14,2023-12-18 06:23:16.416128255,24.02770830973512
3,8,2023-12-18 06:23:16.422129455,40.95500836549604
3,12,2023-12-18 06:23:16.428130655,31.2387821726607
1,12,2023-12-18 06:23:16.434131856,32.298711160665235
1,14,2023-12-18 06:23:16.440133056,26.123271199721387
2,12,2023-12-18 06:23:16.446134256,42.92875038132285
3,14,2023-12-18 06:23:16.452135456,42.30454475131437
3,8,2023-12-18 06:23:16.458136657,48.361263883581785
2,8,2023-12-18 06:23:16.464137857,36.81925812045576
2,8,2023-12-18 06:23:16.470139057,34.22858250178251
3,12,2023-12-18 06:23:16.476140257,49.85287623269447
2,14,2023-12-18 06:23:16.482141458,40.78807440814543
2,12,2023-12-18 06:23:16.488142658,27.511263345674205
1,8,2023-12-18 06:23:16.494143858,39.34133636795793
3,14,2023-12-18 06:23:16.500145058,34.445123871324654
2,10,2023-12-18 06:23:16.506146259,21.663311728366658
2,14,2023-12-18 06:23:16.512147459,35.29966486732642
3,8,2023-12-18 06:23:16.518148659,48.64240884446908
3,8,2023-12-18 06:23:16.524149859,41.87313598037867
1,10,2023-12-18 06:23:16.530151060,46.26379750868985
2,8,2023-12-18 06:23:16.536152260,46.0385012538506
3,14,2023-12-18 06:23:16.542153460,41.5732602029291
3,10,2023-12-18 06:23:16.548154660,41.29402492378895
3,10,2023-12-18 06:23:16.554155860,26.98500013664954
2,8,2023-12-18 06:23:16.560157061,45.3572068453241
2,10,2023-12-18 06:23:16.566158261,26.424592784999618
3,12,2023-12-18 06:23:16.572159461,37.15524711088172
1,8,2023-12-18 06:23:16.578160661,43.454269614837656
1,14,2023-12-18 06:23:16.584161862,32.98711939929447
2,14,2023-12-18 06:23:16.590163062,24.757920511440545
1,8,2023-12-18 06:23:16.596164262,20.888681287755848
1,14,2023-12-18 06:23:16.602165462,38.658827186859355
3,14,2023-12-18 06:23:16.608166663,29.302184344385054
2,8,2023-12-18 06:23:16.614167863,35.945083989274565
1,14,2023-12-18 06:23:16.620169063,36.901678445212966
3,12,2023-12-18 06:23:16.626170263,26.45751483254223
1,10,2023-12-18 06:23:16.632171464,35.69709156762386
1,14,2023-12-18 06:23:16.638172664,34.66453541763995
2,8,2023-12-18 06:23:16.644173864,26.52375649206921
1,14,2023-12-18 06:23:16.650175064,20.546081534387042
3,10,2023-12-18 06:23:16.656176265,38.24495210754956
2,8,2023-12-18 06:23:16.662177465,47.48814806335561
2,10,2023-12-18 06:23:16.668178665,31.274370812294016
1,10,2023-12-18 06:23:16.674179865,43.54271400390643
1,14,2023-12-18 06:23:16.680181066,28.21095735299997
2,14,2023-12-18 06:23:16.686182266,26.86799721787939
2,8,2023-12-18 06:23:16.692183466,29.0534357480605
2,12,2023-12-18 06:23:16.698184666,42.49813000134455
2,12,2023-12-18 06:23:16.704185866,47.680372535785864
3,12,2023-12-18 06:23:16.710187067,45.34445398824996
3,12,2023-12-18 06:23:16.716188267,36.95640963320264
2,14,2023-12-18 06:23:16.722189467,38.00141428556084
3,12,2023-12-18 06:23:16.728190667,22.91807941795286
2,10,2023-12-18 06:23:16.734191868,24.725506546276957
1,14,2023-12-18 06:23:16.740193068,28.83814726182966
2,10,2023-12-18 06:23:16.746194268,22.354644659860455
3,14,2023-12-18 06:23:16.752195468,33.26564228946249
2,12,2023-12-18 06:23:16.758196669,23.813734377303014
1,12,2023-12-18 06:23:16.764197869,25.161002655680036
1,12,2023-12-18 06:23:16.770199069,33.80191179611369
3,12,2023-12-18 06:23:16.776200269,46.633665305176635
2,10,2023-12-18 06:23:16.782201470,46.53426412301661
3,8,2023-12-18 06:23:16.788202670,31.557497773318527
1,8,2023-12-18 06:23:16.794203870,38.0710955197862
1,14,2023-12-18 06:23:16.800205070,30.633658463841517
1,8,2023-12-18 06:23:16.806206271,36.9372411012195
1,10,2023-12-18 06:23:16.812207471,28.780962733242085
1,12,2023-12-18 06:23:16.818208671,35.47260538432589
2,14,2023-12-18 06:23:16.824209871,21.60384155560222
3,10,2023-12-18 06:23:16.830211072,28.80677785410165
1,14,2023-12-18 06:23:16.836212272,21.99975580298212
3,14,2023-12-18 06:23:16.842213472,20.187613358325677
1,14,2023-12-18 06:23:16.848214672,33.38192977553518
2,14,2023-12-18 06:23:16.854215872,24.17933958095734
2,14,2023-12-18 06:23:16.860217073,29.460071452664195
1,8,2023-12-18 06:23:16.866218273,37.523018634292285
3,12,2023-12-18 06:23:16.872219473,25.862114830803804
1,12,2023-12-18 06:23:16.878220673,45.27389450544967
2,10,2023-12-18 06:23:16.884221874,37.14740635282192
2,8,2023-12-18 06:23:16.890223074,21.631395882874656
1,12,2023-12-18 06:23:16.896224274,45.68704175287344
1,14,2023-12-18 06:23:16.902225474,33.539213858845145
2,14,2023-12-18 06:23:16.908226675,33.4580775434429
1,12,2023-12-18 06:23:16.914227875,38.33303778235791
2,10,2023-12-18 06:23:16.920229075,31.392750236126297
2,10,2023-12-18 06:23:16.926230275,25.054280467109848
3,10,2023-12-18 06:23:16.932231476,49.68774395170247
3,12,2023-12-18 06:23:16.938232676,38.26424480108564
2,8,2023-12-18 06:23:16.944233876,48.91248795606715
3,8,2023-12-18 06:23:16.950235076,47.20469464019128
1,8,2023-12-18 06:23:16.956236277,35.74643026532672
2,10,2023-12-18 06:23:16.962237477,34.60314765229926
1,12,2023-12-18 06:23:16.968238677,33.17740467983081
1,14,2023-12-18 06:23:16.974239877,45.64407607465481
3,10,2023-12-18 06:23:16.980241078,27.510871812509635
1,8,2023-12-18 06:23:16.986242278,49.9458777414317
1,8,2023-12-18 06:23:16.992243478,32.475904717005996
2,10,2023-12-18 06:23:16.998244678,47.445298665872315
2,8,2023-12-18 06:23:17.004245878,49.71177799768208
2,10,2023-12-18 06:23:17.010247079,41.757519876380805
2,10,2023-12-18 06:23:17.016248279,38.26248131959027
3,12,2023-12-18 06:23:17.022249479,29.835662291087466
1,14,2023-12-18 06:23:17.028250679,33.03113449904567
1,8,2023-12-18 06:23:17.034251880,32.03083480122504
1,8,2023-12-18 06:23:17.040253080,43.239507444347936
3,10,2023-12-18 06:23:17.046254280,30.935596883858107
2,10,2023-12-18 06:23:17.052255480,33.056080851097086
3,12,2023-12-18 06:23:17.058256681,27.74685302807611
3,12,2023-12-18 06:23:17.064257881,45.43085411166183
2,12,2023-12-18 06:23:17.070259081,45.588546742672534
2,14,2023-12-18 06:23:17.076260281,45.545279143186534
2,14,2023-12-18 06:23:17.082261482,33.82396924016271
1,14,2023-12-18 06:23:17.088262682,42.71785384756
3,12,2023-12-18 06:23:17.094263882,21.097477707508034
1,10,2023-12-18 06:23:17.100265082,30.755921489395348
1,8,2023-12-18 06:23:17.106266283,43.048772278919145
1,10,2023-12-18 06:23:17.112267483,39.35795366000256
1,12,2023-12-18 06:23:17.118268683,47.79539914124537
